,importance
lag_1,0.9501829679948786
hour,0.04094779898186189
rolling_24_std,0.0027721007769530067
rolling_24_mean,0.0015944140711709727
dayofweek,0.000954426089463653
dayofyear,0.0009529024304491031
lag_24,0.0006303305145900802
is_weekend,0.0006288033489993089
weekofyear,0.0003647662253773875
rolling_168_mean,0.0003256448042107549
lag_168,0.00029233341413494214
year,0.00017629581416551274
